username,how_many_reviews,location,date,rating,rating_title,rating_description,date_of_experience
Patrick Kelly,1,US,"May 26, 2023",Rated 5 out of 5 stars,I haven't had the experience,"I haven't had the experience. But what I've read, it's absolutely I'm completely sold.  Having a PPM Would make things easier? I do have some questions about 17 CFR. I all the correct paper work and do not want to go through irs or treasury, even tho I'm almost done. I think my vender is Ameriprise Express Financial. Securities and exchange","May 26, 2023"
Shalom,1,NG,"May 25, 2023",Rated 1 out of 5 stars,I'm unable to sign in or login seems…,I'm unable to sign in or login seems like the sign in and login colunms are inactive.,"May 25, 2023"
Zai Zhe,1,PH,"Updated Jun 2, 2023",Rated 1 out of 5 stars,I sign up but it say my account…,Be aware of this good review they are bot...I sign up but it say my account disable. wasting my time.... To those who are new in affiliate marketing you better chose commission junction or other.. clickbank maybe is good if you purchase that $3000 somthing that they are talking on the video.. I watch the video but in the end  they will market you about that spark.. if you decline you cant sign up that's the reality.. click bank is not good for beginners real talk...,"May 24, 2023"
re eo,1,MK,"May 23, 2023",Rated 1 out of 5 stars,They keep advertising to me on FB and…,"They keep advertising to me on FB and when i try to sign up and test their platform i get this message.SO annoying.Unfortunately, we cannot accept new sign-ups that do not meet the requirements of our fraud and risk standards. We have to abide by government and global sanctions, as well as current global fraud trends in order to maintain the safety of our clients. We appreciate your understanding.","May 23, 2023"
LotusFlower,16,GB,"May 23, 2023",Rated 5 out of 5 stars,Clickbank Is Just Great,"Clickbank is my favourite when it comes to affiliate marketing. A legitimate site, its dashboard is simple for newbies to navigate and data easy to read. Affiliate marketers can build relationships with the vendors and affiliate managers for the products they wish to promote. I think their offers are much better than other sites and they even advise which products are trending or doing well through their gravity scoring system. Affiliate marketing isn't easy and requires much hard work but Clickbank provide the tools and education to give you a chance at succeeding and achieving solid commissions.","May 05, 2023"
Winston T Hooker Sr,6,US,"May 22, 2023",Rated 5 out of 5 stars,Possitive review regarding chat with ROSANNA.,This review is in regards to my chat on 05/20/2023 with a chat ROSANNA.  She was extremely helpful with my request for customer service regarding two orders-Order # 3F3KUZ24 AND #3F3KUZW4.  She understood my problem and provided all of the information that I needed to resolve my issue.  Many Thanks.,"May 20, 2023"
Annetta Janice,1,GB,"May 22, 2023",Rated 5 out of 5 stars,Professionism and Respect.,"I was connected straight to the next available chat agent. The chat agent was professional, respected my decision and helped me solve my problem. That I will recommend.","May 13, 2023"
Nadir,1,US,"May 22, 2023",Rated 5 out of 5 stars,Elgene was very helpful in resolving my…,Elgene was very helpful in resolving my issue and answering my questions!,"May 21, 2023"
Carol Burnett,1,US,"May 21, 2023",Rated 5 out of 5 stars,Marilou was awesome,"Marilou was very patient, and courteous when trying to clean up my issues!  She was awesome.","May 21, 2023"
Saths,4,MY,"May 21, 2023",Rated 5 out of 5 stars,Agent Earleen was fantastic,"Agent Earleen was prompt, to the point and immediately answered my queries. She was knowledgeable, polite and customer friendly. She resolved my issue promptly. A very satisfied customer","May 22, 2023"
Lisa Bright,1,US,"May 21, 2023",Rated 5 out of 5 stars,Christine was professional and…,Christine was professional and courteous. She didn't pressure me to keep the subscription and processed my request without significant delay.,"May 21, 2023"
Susan Poole Northcutt,3,US,"May 21, 2023",Rated 1 out of 5 stars,Won't get your money back ever.,Bull this company represents scammer and criminal companies. This is the third time I lost money to this company who took money for products were junk. Then when you try to get your money back nothing but a run around. This is crap.,"April 03, 2023"
Janet Melvin,2,US,"May 20, 2023",Rated 5 out of 5 stars,Great Customer Service,Sharnell was very helpful and professional.,"May 20, 2023"
Xx Qüęêñs xX,7,GB,"May 20, 2023",Rated 5 out of 5 stars,Quick and easy explanation,,"May 20, 2023"
Olga de Llera Copywriting,2,GB,"May 17, 2023",Rated 1 out of 5 stars,No one takes responsibility,"I purchased a course that included a free one. According to them, the free course is valued at $17. I have had access to the course I paid for since day one, but not the free course they were supposed to provide. I contacted Clickbank because there was a note stating that the link to the free course would be sent in a separate email. Clickbank responded that the email with the link was sent after the purchase and closed the customer support ticket. I reopened the ticket and explained that I did receive a link, but it was for the course I paid for, not the free one that was supposed to come with the purchase. Today, I received another automated email from Clickbank stating that since it has been 2 days since I submitted the inquiry and the vendor has not responded, the best course of action is to request a refund. What kind of service is this? They promote something they don't deliver, waste my time with email exchanges, and then suggest that since everyone here seems indifferent, it's best to get a refund. This is ridiculous.","May 17, 2023"
Lynne,1,AU,"May 15, 2023",Rated 5 out of 5 stars,I chatted with Nathaniel who was extremely helpful…,I chatted with Nathaniel who was extremely helpful in solving a problem with a new order. He was very prompt with his replies and was able to assure me that my issue had been resolved.,"May 15, 2023"
Jennifer Phillips,1,US,"May 15, 2023",Rated 5 out of 5 stars,Very helpful and took care of my matter…,Very helpful and took care of my matter with no problems,"May 14, 2023"
Lu,2,GB,"May 15, 2023",Rated 5 out of 5 stars,Fast and effective support,Fast and effective support. Resolution achieved! Very straightforward. Thank you again,"May 14, 2023"
Alex Lovo,1,US,"May 14, 2023",Rated 1 out of 5 stars,not giving help guidance,there was not an honest question and it seems everyone is not on the same page. I need help with a refund the website does not give a refund button and gives us a whole loop hole. I need a better disction about this,"May 14, 2023"
Chris S,1,US,"May 14, 2023",Rated 5 out of 5 stars,Thank you Elgene,Elgene was responded quickly and was very helpful. Great customer service!,"May 13, 2023"
David Bendeich,1,AU,"May 13, 2023",Rated 5 out of 5 stars,Very prompt reply to my question and…,Very prompt reply to my question and provided answer to my question within a couple of minutes,"May 14, 2023"
Leigh,1,US,"May 13, 2023",Rated 5 out of 5 stars,I had to contact the company about an…,"I had to contact the company about an order I had placed, and Cherie was excellent!!  She handled all of the details quickly and efficiently!!","May 13, 2023"
Dianne Burling,1,CA,"May 13, 2023",Rated 4 out of 5 stars,Good service,Service was good very great service today,"May 13, 2023"
Edward Dempsey,2,IE,"May 13, 2023",Rated 4 out of 5 stars,Attention and courtesy  extended by…Christine,Attention and courtesy  extended by Christine was excellent. However I will reserve my final judgement until the problem is resolved,"May 13, 2023"
Shellie W.,5,US,"May 12, 2023",Rated 5 out of 5 stars,I finally got ahold of someone to help…,I finally got ahold of someone to help me return this item...I was overcharged $10 on one bottle...now it will cost me $5.00 to send it back...not good business...,"May 12, 2023"
Sakunthala kandasamy Govender,1,ZA,"May 12, 2023",Rated 5 out of 5 stars,#$it@,Easy to navigate and guided reading and assistance,"May 12, 2023"
Jacob Bryant,1,US,"May 10, 2023",Rated 5 out of 5 stars,Toni was great,"Toni was great, polite, informative and direct.","May 10, 2023"
Gintare,1,LT,"May 9, 2023",Rated 1 out of 5 stars,Do not create your account!,"To me they sound like a scam. Especially about the beggining video. They say that youtubers are scamming us. But they do the same thing. But the saddest thing that YOU CAN’T DELETE YOU ACCOUNT. My mobile phone, email, name and surname are left. I do not trust them and now feel unsafe.","May 05, 2023"
Samkelisiwe Zondi,1,ZA,"May 9, 2023",Rated 2 out of 5 stars,I’m not sure if the problem was with me…,I’m not sure if the problem was with me but I couldn’t download the app. I kept receiving error messages.,"May 09, 2023"
Holly Sene,3,US,"May 8, 2023",Rated 5 out of 5 stars,Was extremely helpful,,"May 07, 2023"
Scott Kingsley,2,AU,"May 8, 2023",Rated 5 out of 5 stars,fast reliable,,"May 08, 2023"
Valkyrie,1,CA,"May 8, 2023",Rated 5 out of 5 stars,Was amazing great service and friendly,,"May 07, 2023"
Mark Yoder,1,US,"May 7, 2023",Rated 5 out of 5 stars,Roseanne was very helpful and answered…,Roseanne was very helpful and answered all my questions,"May 07, 2023"
Nat Velasquez,1,US,"May 7, 2023",Rated 5 out of 5 stars,Satisfied with Answers To Payment Questions,I was pleased with the answers to my questions about my payment.,"May 05, 2023"
Bénédicte J.,4,BE,"May 7, 2023",Rated 5 out of 5 stars,Effective ClickBank response,I had a fast response and appropriate answer,"May 07, 2023"
Joyce Barrows,2,US,"May 6, 2023",Rated 5 out of 5 stars,I ordered without talking to my husband…,I ordered without talking to my husband and Rosanna has helped me cancel. I’m so afraid of being scammed.,"May 06, 2023"
Eddie Amoafo,6,GB,"May 6, 2023",Rated 5 out of 5 stars,Very professional Rosanna,"Rosanna was very quick, knew what she was doing, explained everything very clearly to me and very polite","May 06, 2023"
Martha,2,US,"May 6, 2023",Rated 4 out of 5 stars,The response was quick and appreciated.,,"May 06, 2023"
ANNA PULGIANO,5,US,"May 6, 2023",Rated 1 out of 5 stars,TERRIBLE CUSTOMER SERVICE,"Cannot get an answer as to why I'm not getting my  Metabofix.  I've tried calling, chat...no phone connection....CUSTOMER SERVICE IS AWFUL!!!!","May 06, 2023"
Dhanashree Bharat Patil,1,IN,"May 6, 2023",Rated 1 out of 5 stars,My account is not sign up,My account is not sign upFraud nd all that is mentionedPlz help me,"May 06, 2023"
SK Intertainmant,1,IN,"May 3, 2023",Rated 5 out of 5 stars,Very good 👍👍,,"May 04, 2023"
Bill Anderson,1,US,"May 3, 2023",Rated 1 out of 5 stars,INTRO VIDEO!!!!!!,"Like many of the comments before mine, the intro video is an absolute MESS. It is deceptive which is a huge red flag, and ultimately has made me despise your company before I even really knew anything about it.Furhtermore, the link you keep replying to people with that you said will allow us to skip the video and sign up directly leads to a page that doesn't work. The link works, but the ""sign up"" button on the link does not. So because that link didn't work I WAITED for the video to finish and went to join and once again, it doesn't work...","May 03, 2023"
Karan rana,1,IN,"May 3, 2023",Rated 5 out of 5 stars,Clickbank is a company several…,Clickbank is a company several companies use to process their online payments for their products.,"May 03, 2023"
Jean Ruby,2,US,"May 2, 2023",Rated 5 out of 5 stars,Very knowledgeable,Very knowledgeable.  Got my order information quickly and sent me the link I needed all under 10 minutes.,"May 01, 2023"
Armande Bourlon,3,CA,"May 2, 2023",Rated 5 out of 5 stars,Assisted with what I wanted,,"May 01, 2023"
Tom,4,AU,"Apr 30, 2023",Rated 5 out of 5 stars,Quick and no fuss,"Quick, no fuss and solution provided without question.Rosanna was spot on - well done","May 01, 2023"
Anna,1,US,"Apr 30, 2023",Rated 5 out of 5 stars,Quick action,"Quick action, easy to handle the chat.","April 30, 2023"
Sanja,1,AE,"Apr 30, 2023",Rated 5 out of 5 stars,Great Erin…,"Erin was absolutely delightful to deal with, a smooth and clear process. THANKS","April 30, 2023"
Ben Ostrander,2,US,"Apr 30, 2023",Rated 5 out of 5 stars,Help,I spoke to Erin and Erin contacted the vendor. Erin said that they should respond in 72 hours via a full refund or replacement of my order.*****,"April 30, 2023"
Donna Clark,1,US,"Apr 30, 2023",Rated 4 out of 5 stars,Good,Help me change to the right email address,"April 29, 2023"
Myriam,1,DE,"Apr 29, 2023",Rated 5 out of 5 stars,Great and fast customer service!,,"April 29, 2023"
Dan,4,US,"Apr 29, 2023",Rated 5 out of 5 stars,The person I chatted with was able to help me with my issue.,The person I chatted with was able to locate the issue and request a stop on the duplicate order in a timely manner and made me feel like a valued customer.,"April 29, 2023"
Mary Lee,1,US,"Apr 29, 2023",Rated 5 out of 5 stars,Metchy is a supreme Customer Service Agent!,"Metchy is the representative that I spoke to and she was extremely helpful and very explicit and her instructions to me. I wish our customer service representative where is thorough, kind, and patient as she.Thank you.Mary F Lee","April 29, 2023"
Javi,2,IN,"Apr 29, 2023",Rated 5 out of 5 stars,I got support on my issue very quick,Thanks to Rolyn for providing me quick support on a issue I was facing.,"April 29, 2023"
Jesus Martinez,1,US,"Apr 28, 2023",Rated 1 out of 5 stars,My name is Jesus Martinez your system…,My name is Jesus Martinez your system is not letting me create an account i aiready try 6 times and it wont drop the country bar to select yiu may want to check on it thank you jesus5902@ yahoo.com,"April 28, 2023"
Hannah Miller,1,RS,"Apr 28, 2023",Rated 1 out of 5 stars,Worst website ever!,Worst website ever - total scam - NEVER TRUST - SOLD ME THE PACKAGE AND STOPPED PROVIDING ME SERVICE!!!!,"April 12, 2023"
zakir hussain,3,PK,"Apr 27, 2023",Rated 1 out of 5 stars,I am frustrated while registration…,I am frustrated while registration while I have received welcome message from clickbank but still not logging on So the ClickBank should be made easy registration,"April 27, 2023"
ghannam hamad,1,SA,"Apr 27, 2023",Rated 1 out of 5 stars,i cant sign in,"i cant sign in, it ask me to choose my country and it does not show any countries and if u scroll down it says all fields mandatory to fill. how can i fill it if u wont allow me ???????","April 27, 2023"
Louie Rokosz,2,GB,"Apr 27, 2023",Rated 5 out of 5 stars,it a good bank,,"April 27, 2023"
Rana,1,IN,"Apr 27, 2023",Rated 1 out of 5 stars,I have been trying to sign up and make…,I have been trying to sign up and make an account on the platform but I can't do this and this is really frustrating. I have tried this at least 20 times and more. No matter how many times I try they say 'Unfortunately due to fraud and risk.......'. I don't like this at all. Please try and resolve it as quickly as you can.,"April 27, 2023"
Axel Xu,1,FR,"Apr 26, 2023",Rated 1 out of 5 stars,account disabled,,"April 26, 2023"
Mohamed Elhamra,1,MA,"Apr 26, 2023",Rated 5 out of 5 stars,This is beautiful.,,"April 26, 2022"
Mrs Patricia A Smith,110,GB,"Apr 26, 2023",Rated 1 out of 5 stars,IMPOSSIBLE…,i am trying to get a refund for an order i havnt been able to download but it is absolutely ridiculous that you cannot even chat to anyone about the problem .i have been trying for 4 days to sort this out without success i defintely wont buy anything that requires payment through CLICKBANK,"April 24, 2023"
vikas more,1,IN,"Apr 26, 2023",Rated 5 out of 5 stars,Nice platform for everyone who willing…,Nice platform for everyone who willing do something new.And yes I feel this is the right way to take step forward to make to achieve our goals in a life.,"April 08, 2023"
Gabriel Fortuna,1,US,"Updated May 3, 2023",Rated 4 out of 5 stars,I recently had an issue with Clickbank regarding a program that I had purchased...,"I recently had an issue with Clickbank regarding a program that I had purchased for lifetime access. Unfortunately, there was a mishap and the site was no longer available, and the software included in the program was rendered useless because of this.However, I am pleased to say that Clickbank was able to address my concerns and provide a satisfactory resolution to the situation. After contacting them, they were able to quickly resolve the issue without making jump through hoops trying to solve it.I appreciate Clickbank's commitment to customer satisfaction and their willingness to work with me to resolve the issue, I was wrong at first thinking that I had been intentionally scammed. It's great to see a business that appreciates its clients and works hard to keep its word.I recommend Clickbank as a credible and trustworthy marketplace for buying digital goods and services. I would definitely say be careful of rouge vendors which might not truly represent what ClickBank stands for. Though I appreciate Clickbank's superb customer service and dedication to satisfying the customer who uses their platform.","April 23, 2023"
Vivek,3,IN,"Apr 24, 2023",Rated 1 out of 5 stars,If you want to earn money from…,"If you want to earn money from affiliate marketing then don't waste your time on this website clickbank is not for you, this website will not give you approval or will disable your account.  This website has many tantrums than you will earn from this website.","April 24, 2023"
Gail K Steuber,3,US,"Apr 24, 2023",Rated 5 out of 5 stars,Rolly answered all my questions with…,Rolly answered all my questions with solutions. Thank you,"April 23, 2023"
ED HOBBS,2,US,"Apr 24, 2023",Rated 5 out of 5 stars,sucessful service,direct and to the point. accomplished my request to cancel promptly,"April 23, 2023"
the man,1,US,"Apr 23, 2023",Rated 5 out of 5 stars,They were very helpful they answer…,They were very helpful they answer every question i had for them I would recommend this to anybody that has problems with clickbank,"April 23, 2023"
Lauren Hope,1,US,"Apr 23, 2023",Rated 5 out of 5 stars,Cherie was very kind about helped me…,Cherie was very kind about helped me recieve a refund. I quickly realized that the membership was not for me but I appreciate the opportunity to explore that and still be refunded.,"April 23, 2023"
Janet smith,2,US,"Apr 23, 2023",Rated 5 out of 5 stars,Very helpful,"Very helpful, above and beyond expectations!","April 23, 2023"
Monica,2,US,"Apr 23, 2023",Rated 5 out of 5 stars,My request was handled immediately,My request was handled immediately. Greatly appreciated.,"April 23, 2023"
Sashyra Trinidad,1,US,"Apr 23, 2023",Rated 5 out of 5 stars,Tom Hibionada was quick and precise…,"Tom Hibionada was quick and precise with getting my refund process started, no questions asked! Thank you!","April 23, 2023"
Klaudia,1,GB,"Apr 23, 2023",Rated 5 out of 5 stars,Arsheil was nice to chat to and help…,Arsheil was nice to chat to and help out with my missing order.,"April 23, 2023"
Nathan Futey,1,US,"Apr 23, 2023",Rated 5 out of 5 stars,I't was pretty good.,,"April 23, 2023"
Sonia  Sanchez,2,US,"Apr 23, 2023",Rated 5 out of 5 stars,The customer service is phenomenal.,,"April 23, 2023"
Lisa Plessinger,1,US,"Apr 23, 2023",Rated 5 out of 5 stars,quick easy to understand and efficient,,"April 22, 2023"
Martha Andrews,3,US,"Apr 22, 2023",Rated 5 out of 5 stars,Very quick responses.,,"April 22, 2023"
Vince D'Andrea,1,US,"Apr 22, 2023",Rated 5 out of 5 stars,Fast and courteous service by Cherie,Fast and courteous service by Cherie to answer my inquiry. Thank you,"April 22, 2023"
Larry Gordon,2,US,"Apr 22, 2023",Rated 5 out of 5 stars,Excellent and speedy customer service,"What made my experience great, was that the service coordinator was very helpful and responsive and worked very quickly. She resolved my issue without any delay.","April 22, 2023"
GC,2,US,"Apr 22, 2023",Rated 5 out of 5 stars,quick response to my inquiry.,,"April 22, 2023"
Anna O'Connell,10,AU,"Apr 22, 2023",Rated 4 out of 5 stars,VERY HELPFUL,I had received an email saying that I was to be charged something that I should not have been.   The person I chatted with was very helpful in assuring me that this was a system error and that I was not going to be charged as the email stated.  Thank Goodness...,"April 22, 2023"
Patricia Liedeke,1,US,"Apr 22, 2023",Rated 5 out of 5 stars,JESSERY WAS THE ONE WHO HELPED ME WITH THIS AND SHE  WAS VERY HELPFUL AND KIND ....THANK YOU ....,JESSERY WAS VERY HELPFUL AND KIND AND TO THE POINT AND MADE SURE I WAS TAKEN CARE OF...... PATRICIA A LIEDEKE .... THANKS,"April 22, 2023"
Harsh Sangwan,1,IN,"Apr 21, 2023",Rated 1 out of 5 stars,I tried everyday and wasted my time…,"I tried everyday and wasted my time trying to sign up only to get this message everytime ""Unfortunately, we cannot accept new sign-ups that do not meet the requirements of our fraud and risk standards. We have to abide by government and global sanctions, as well as current global fraud trends in order to maintain the safety of our clients. We appreciate your understanding.""","April 21, 2023"
Anonymous,13,US,"Updated Apr 25, 2023",Rated 1 out of 5 stars,Don't trust Clickbank; they are unreliable and a questionable entity,"Purchased a product which had a guaranteed return policy and the rules for return were followed completely; I mailed the product back to them on  4/11/23 via USPS Priority Tracking and it  was  received by them on 4/13/202  They h3.  They didn't even know it had been received-speaks to the lack of knowledge about their own business and their return policies. They  have had sufficient time to credit my account during the past 6 days and have failed to do so.  Their emails indicate my money was refunded, but this is not the case.   Until this is fully resolved , Clickbanks behavior is nothing shy of nefarious.  HIGHLY advise do not do any business with this company as they are not trustworthy.  Hopefully I will get my money back.I had the opportunity to email Ms Beevers several days ago. Problem has been fully resolved. No further action required. Appreciate the person in charge of Clickbank addressing my query.","April 13, 2023"
Rebecca Moar,2,CA,"Apr 20, 2023",Rated 5 out of 5 stars,Juan was very helpful,Juan was very helpful. Very professional and knowledgeable.,"April 20, 2023"
Harsh Sangwan,1,IN,"Apr 20, 2023",Rated 1 out of 5 stars,I am unable to login even I fill every…,I am unable to login even I fill every information correct,"April 20, 2023"
Rachel,1,US,"Apr 20, 2023",Rated 3 out of 5 stars,FRAUDULENT CHARGE,"The email notification said that I wanted to cancel my subscription because I was no longer able to pay. That is absolutely NOT the case. I said that every time my card is charged, the bank flags it as fradulent, then they freeze my card and my other bills get declined. NOT because I can't pay...because my card gets frozen. If you want people to keep their subscriptions, stop your payments from being flagged as a fradulent charge!","April 19, 2023"
Leonidas,1,CY,"Apr 18, 2023",Rated 1 out of 5 stars,My country was not in the options,My country was not in the options when i went to sing in so i couldn’t finish the form.could you please add Cyprus too.,"April 18, 2023"
Abhishek Dahikar,1,IN,"Apr 18, 2023",Rated 5 out of 5 stars,plz help me to create my  acccount…,plz help me to create my  acccount please,"April 18, 2022"
Cheryl Jordan,1,US,"Apr 17, 2023",Rated 5 out of 5 stars,My matter was corrected immediately,"My matter was corrected immediately.  Although I did not actually talk to anyone, whoever was on the other end seemed to be nice and concerned about my issue.","April 16, 2023"
Ocean Reign,1,US,"Apr 17, 2023",Rated 5 out of 5 stars,Cherie is great!!,"Cherie is great at doing her job. Everything went smoothly and without any problem. Thank you Cherie, you're the best.","April 16, 2023"
michael blaisus,3,GU,"Apr 16, 2023",Rated 4 out of 5 stars,A little slow but otherwise good,,"April 17, 2023"
Gene Tobias,2,US,"Apr 16, 2023",Rated 4 out of 5 stars,My account has been disabled and the…,My account has been disabled and the person walked me through what they could and then providede the information and contact to the next level of service to try to resolve.,"April 16, 2023"
Justice Coven,1,US,"Apr 16, 2023",Rated 1 out of 5 stars,I did not sign up because of the video,"I did not sign up because of the video. How incredibly annoying. They let the video look like it will be short in the beginning. The video looks like it is fast at the beginning and then slows to a near stop at the end as you hear this guy ramble on and on about how much people have earned. He will keep saying “so now im going to tell you the 3 basic steps to affiliate marketing.” Then he rambles on about what you can do if you make some money as if you don’t know how money works. You cant even check how long the video is or how many more minutes you have left to watch. If the video was not so idiotic and dragged out for no reason, I would of joined. The video makes the website seem like a whole scam.","April 15, 2023"
Richard,6,AU,"Apr 16, 2023",Rated 5 out of 5 stars,Jemarie chat discussion to cancel order due to emergency operation,Jemarie - was very efficient and tolerant of my slow typing speed. She quickly found my orders and responded very courteously to my request. WONDERFUL SERVICE,"April 16, 2023"
Angela Montano,1,IT,"Apr 16, 2023",Rated 5 out of 5 stars,Chat veloce e super efficiente.,,"April 16, 2023"
Chris,1,US,"Apr 15, 2023",Rated 5 out of 5 stars,Quick efficient and straight to the…,Quick efficient and straight to the point.,"April 15, 2023"
Pat Kilbride,5,CA,"Apr 15, 2023",Rated 5 out of 5 stars,Cherie is definitely an asset to your company!,Cherie was very understanding and made the process very easy! She is definitely an asset to your Company!,"April 15, 2023"
Amanda Curran,1,US,"Apr 15, 2023",Rated 5 out of 5 stars,I commend the outstanding customer…,I commend the outstanding customer service provided by JEMARIE. I would not hesitate to try other products in the future.,"April 15, 2023"
Elizabeth Silva,1,US,"Apr 15, 2023",Rated 5 out of 5 stars,Representative was very helpful.,,"April 15, 2023"
ivan,1,MK,"Apr 14, 2023",Rated 5 out of 5 stars,problem,"Unfortunately, we cannot accept new sign-ups that do not meet the requirements of our fraud and risk standards. We have to abide by government and global sanctions, as well as current global fraud trends in order to maintain the safety of our clients. We appreciate your understanding.","April 04, 2023"
Lewis Lonsdale,2,AL,"Apr 12, 2023",Rated 1 out of 5 stars,Spammy Introduction Video,I felt like giving you 1 star whilst I was listening to your spammy introduction video. You intentionally speed up the video at the beginning and slow it down toward the end.,"April 12, 2023"
Robert Donnell,6,MX,"Apr 12, 2023",Rated 1 out of 5 stars,These people make it VERY difficult to cancel an affiliate recurring charge,These people make it VERY difficult to contact.  They say the site is having problems and tell you to contact customer service.  156 minutes of holding time and they say the same thing you are #5 in line and do not answer the call.I had to complain to VISA - I will NEVER buy from anyone that uses ClickBank again,"April 11, 2023"
N. Podscharly,2,DE,"Apr 11, 2023",Rated 5 out of 5 stars,Nice support :),Angelique was very nice and helpful and my problems were solved very quickly.,"April 11, 2023"
Dalyce,6,US,"Apr 10, 2023",Rated 5 out of 5 stars,Margarette Was Helpful!,I chatted with Margarette in regards to returning a product.  She assisted me with sending an email with instructions of how to return the product.  She was very helpful and she also appeared to be very knowledgeable.,"April 09, 2023"
Kate,1,ID,"Apr 10, 2023",Rated 1 out of 5 stars,Disables account........they don’t even…,Disables account........they don’t even let to register.......,"April 10, 2023"
Irene Luma,1,US,"Apr 9, 2023",Rated 5 out of 5 stars,Helpful!,"I needed a refund for a product that I had mistakenly purchased, and was able to receive help immediately. The agent I spoke with was Rosanna and they helped answer any questions I had and made the experience quick, easy, and efficient.","April 09, 2023"
Jamon Glover Speaks,2,US,"Apr 9, 2023",Rated 5 out of 5 stars,He didn't time me out,"He didn't time me out, like the previous person. He was prompt and addressed my need","April 08, 2023"
MD MAKSUDUR RAHMAN,1,BD,"Apr 8, 2023",Rated 3 out of 5 stars,sir when you add bangladesh on your…,sir when you add bangladesh on your system. we are bangladeshi. please add bangladesh on your system. bangladesh is nice country,"April 09, 2023"
Troy M,1,US,"Apr 8, 2023",Rated 5 out of 5 stars,I get frustrated with all the push for…,I get frustrated with all the push for more after I place an order for this and similar products.  I seem to always get tricked into additional purchases I did not want.  This attendant was quick and able to give me confirmation of the corrected order.  Thank you.,"April 08, 2023"
Kathleen McGowan,1,US,"Apr 8, 2023",Rated 5 out of 5 stars,"Chatting with Trustpilot, don't leave or you'll lose the window.","I was chatting with Erin at 1st and waiting ""one moment"" for him, but while I was waiting, I hit keys on my laptop to check on things and I lost our conversation. I couldn't get him back.  Then I started another chat session with Rezel and after a bit complaining (I apologize now for), Rezel helped me greatly! He referred to Erin's conversation and explained everything that he did in the most kindest way.","April 08, 2023"
Julie Aguilar,3,US,"Apr 8, 2023",Rated 5 out of 5 stars,They were fast and considerate but they…,They were fast and considerate but they do need better clients because I have no problem with the bank just the client,"April 08, 2023"
Marta Trueax,1,US,"Apr 8, 2023",Rated 4 out of 5 stars,Medicinal Garden Kit order,"I was able to find a link that took me to ClickBank home page and then I was able to live chat with one of the representatives, Rosanna, who was very helpful.","April 08, 2023"
Chinmay Hajare,1,IN,"Apr 7, 2023",Rated 1 out of 5 stars,I tried everyday and wasted my time…,"I tried everyday and wasted my time trying to sign up only to get this message everytime  ""Unfortunately, we cannot accept new sign-ups that do not meet the requirements of our fraud and risk standards. We have to abide by government and global sanctions, as well as current global fraud trends in order to maintain the safety of our clients. We appreciate your understanding.""","April 07, 2023"
George Pipis,1,CY,"Apr 5, 2023",Rated 2 out of 5 stars,I cannot connect because my country is…,I cannot connect because my country is not listed...!,"April 05, 2023"
Bricquel Clark,1,US,"Apr 3, 2023",Rated 5 out of 5 stars,Wonderful customer service from…,Wonderful customer service from Nathaniel.,"April 02, 2023"
Linda Paltridge,3,NZ,"Apr 3, 2023",Rated 5 out of 5 stars,Easy chat,"Easy chat, very helpfull","April 03, 2023"
Dominique Pontecorvo,3,US,"Apr 3, 2023",Rated 5 out of 5 stars,"Wasnt able to access my product for twin flame portrait, and guide",Wasnt able to access my product for more than a month.  the last customer service rep expressed that I would receive a refund within 3-5 days.  Hopefully I will not experience any problems with that.  He sounded sincere.,"April 01, 2023"
Mark Alexander,1,US,"Apr 3, 2023",Rated 5 out of 5 stars,Jean was friendly and efficient,Jean was friendly and efficient. The transaction to correct my order was done promptly.,"April 02, 2023"
Summer Halliday,2,CA,"Apr 2, 2023",Rated 5 out of 5 stars,Fast and polite service.,,"April 02, 2023"
John,1,US,"Apr 2, 2023",Rated 5 out of 5 stars,The experience was easy and the problem…,The experience was easy and the problem was corrected within a few minutes once a live representative came available.,"April 02, 2023"
Rick M Valued Norton Customer,2,US,"Apr 2, 2023",Rated 5 out of 5 stars,Very easy and responsive,My experience was pleasant and pain free.  Very easy to feedback with thoughtful dialogue.,"April 02, 2023"
Mark Levenson,1,US,"Apr 2, 2023",Rated 5 out of 5 stars,The customer representative was quick…,The customer representative was quick and to the point for everything I asked for. I appreciate that response because I do not have a lot of time to repeat comments and waste time doing double work.Many Thanks Jessery for all your help.,"April 02, 2023"
Emmanuella,2,DE,"Apr 1, 2023",Rated 5 out of 5 stars,The customer service was nice 😊,"I thought I would never get to receive my refund back, the first customer care who attended to me this morning was not helpful. But this evening I decided to communicate back with them again and I want to say this customer service was really nice and patient. Thank you very much Rhea! I hope to get my refund back soon.😊😊🥰","April 01, 2023"
Rifa Farhana Bente-Reza,1,CA,"Apr 1, 2023",Rated 5 out of 5 stars,Rhea Help me a lot,,"April 01, 2023"
danish manzoor,1,PK,"Apr 1, 2023",Rated 1 out of 5 stars,Time wasted!!!!!!!!!,Time wasted!!!!!!!!!i tried to signup but i couldn't find my country in dropdown and it keep showing error,"April 02, 2022"
SM BIPLOB,1,BD,"Apr 1, 2023",Rated 1 out of 5 stars,Not good at all,Not good at all. get the account suspended without any reason.,"April 02, 2023"
Noelle,1,US,"Apr 1, 2023",Rated 4 out of 5 stars,Rosanna was very polite & helpful,"Rosanna was very polite & helpful, but there seemed to be a long pause between responses. Maybe something with the system.","April 01, 2023"
